"","source","ligand","target","receptor","lr.mean"
"1","MYL","F10","MYL","F3",0.848080456076871
"2","MYL","F10","FIB-3","F3",1.39889049126123
"3","MYL","F10","FIB-2","F3",1.5254706801857
"4","MYL","F10","RBC","F3",1.29339778893598
"5","MYL","F10","LYME","F3",1.07726126527803
"6","MYL","F10","FIB-1","F3",1.38415864428389
"7","MYL","F10","FIB-5","F3",1.12014379149812
"8","MYL","F10","BC","F3",1.17495968406756
"9","MYL","F10","FIB-4","F3",1.30331931098158
"10","MYL","F10","TC","F3",1.40038753772271
"11","MYL","F10","ENDO","F3",1.29422437066707
"12","MYL","F10","DEN","F3",0.974752951593142
"13","MYL","F10","SCH","F3",1.27189117466522
"14","LYME","F10","MYL","F3",0.445643219276332
"15","LYME","F10","FIB-3","F3",0.99645325446069
"16","LYME","F10","FIB-2","F3",1.12303344338516
"17","LYME","F10","RBC","F3",0.890960552135444
"18","LYME","F10","LYME","F3",0.674824028477493
"19","LYME","F10","FIB-1","F3",0.98172140748335
"20","LYME","F10","FIB-5","F3",0.717706554697581
"21","LYME","F10","BC","F3",0.772522447267026
"22","LYME","F10","FIB-4","F3",0.900882074181037
"23","LYME","F10","TC","F3",0.997950300922176
"24","LYME","F10","ENDO","F3",0.891787133866533
"25","LYME","F10","DEN","F3",0.572315714792604
"26","LYME","F10","SCH","F3",0.869453937864677
"27","FIB-5","F10","MYL","F3",0.562224359562895
"28","FIB-5","F10","FIB-3","F3",1.11303439474725
"29","FIB-5","F10","FIB-2","F3",1.23961458367173
"30","FIB-5","F10","RBC","F3",1.00754169242201
"31","FIB-5","F10","LYME","F3",0.791405168764056
"32","FIB-5","F10","FIB-1","F3",1.09830254776991
"33","FIB-5","F10","FIB-5","F3",0.834287694984144
"34","FIB-5","F10","BC","F3",0.889103587553589
"35","FIB-5","F10","FIB-4","F3",1.0174632144676
"36","FIB-5","F10","TC","F3",1.11453144120874
"37","FIB-5","F10","ENDO","F3",1.0083682741531
"38","FIB-5","F10","DEN","F3",0.688896855079167
"39","FIB-5","F10","SCH","F3",0.986035078151239
"40","BC","F10","MYL","F3",0.391727299044399
"41","BC","F10","FIB-3","F3",0.942537334228757
"42","BC","F10","FIB-2","F3",1.06911752315323
"43","BC","F10","RBC","F3",0.837044631903511
"44","BC","F10","LYME","F3",0.62090810824556
"45","BC","F10","FIB-1","F3",0.927805487251417
"46","BC","F10","FIB-5","F3",0.663790634465648
"47","BC","F10","BC","F3",0.718606527035093
"48","BC","F10","FIB-4","F3",0.846966153949104
"49","BC","F10","TC","F3",0.944034380690242
"50","BC","F10","ENDO","F3",0.8378712136346
"51","BC","F10","DEN","F3",0.51839979456067
"52","BC","F10","SCH","F3",0.815538017632743
"53","DEN","F10","MYL","F3",0.435699480111952
"54","DEN","F10","FIB-3","F3",0.98650951529631
"55","DEN","F10","FIB-2","F3",1.11308970422078
"56","DEN","F10","RBC","F3",0.881016812971064
"57","DEN","F10","LYME","F3",0.664880289313113
"58","DEN","F10","FIB-1","F3",0.97177766831897
"59","DEN","F10","FIB-5","F3",0.707762815533201
"60","DEN","F10","BC","F3",0.762578708102646
"61","DEN","F10","FIB-4","F3",0.890938335016657
"62","DEN","F10","TC","F3",0.988006561757795
"63","DEN","F10","ENDO","F3",0.881843394702153
"64","DEN","F10","DEN","F3",0.562371975628223
"65","DEN","F10","SCH","F3",0.859510198700296
"66","SCH","F10","MYL","F3",0.317481724678149
"67","SCH","F10","FIB-3","F3",0.868291759862507
"68","SCH","F10","FIB-2","F3",0.994871948786981
"69","SCH","F10","RBC","F3",0.762799057537261
"70","SCH","F10","LYME","F3",0.546662533879309
"71","SCH","F10","FIB-1","F3",0.853559912885167
"72","SCH","F10","FIB-5","F3",0.589545060099398
"73","SCH","F10","BC","F3",0.644360952668843
"74","SCH","F10","FIB-4","F3",0.772720579582854
"75","SCH","F10","TC","F3",0.869788806323992
"76","SCH","F10","ENDO","F3",0.76362563926835
"77","SCH","F10","DEN","F3",0.44415422019442
"78","SCH","F10","SCH","F3",0.741292443266493
